1 1 1 , Epoch:12, Support: 437
5 5 5 5 3 5 3 5 5 3 , Epoch:19, Support: 6
5 5 5 5 3 5 3 5 5 5 , Epoch:19, Support: 6
5 5 5 5 3 5 5 3 3 3 , Epoch:19, Support: 6
5 5 5 5 3 5 5 3 3 5 , Epoch:19, Support: 6
5 5 5 5 3 5 5 3 5 3 , Epoch:19, Support: 6
5 5 5 5 3 5 5 3 5 5 , Epoch:19, Support: 6
5 5 5 5 3 5 5 5 3 3 , Epoch:19, Support: 6
5 5 5 5 3 5 5 5 3 5 , Epoch:19, Support: 6
5 5 5 5 3 5 5 5 5 3 , Epoch:19, Support: 6
5 5 5 5 3 5 5 5 5 5 , Epoch:19, Support: 6
5 5 5 5 5 , Epoch:14, Support: 264
5 5 5 5 5 , Epoch:18, Support: 234
5 5 5 5 5 3 3 3 3 3 , Epoch:19, Support: 6
5 5 5 5 5 3 3 3 3 5 , Epoch:19, Support: 6
5 5 5 5 5 3 3 3 5 3 , Epoch:19, Support: 6
5 5 5 5 5 3 3 3 5 5 , Epoch:19, Support: 6
5 5 5 5 5 3 3 5 3 3 , Epoch:19, Support: 6
5 5 5 5 5 3 3 5 3 5 , Epoch:19, Support: 6
5 5 5 5 5 3 3 5 5 3 , Epoch:19, Support: 6
5 5 5 5 5 3 3 5 5 5 , Epoch:19, Support: 6
5 5 5 5 5 3 5 3 3 3 , Epoch:19, Support: 6
5 5 5 5 5 3 5 3 3 5 , Epoch:19, Support: 6
5 5 5 5 5 3 5 3 5 3 , Epoch:19, Support: 6
5 5 5 5 5 3 5 3 5 5 , Epoch:19, Support: 6
5 5 5 5 5 3 5 5 3 3 , Epoch:19, Support: 6
5 5 5 5 5 3 5 5 3 5 , Epoch:19, Support: 6
5 5 5 5 5 3 5 5 5 3 , Epoch:19, Support: 6
5 5 5 5 5 3 5 5 5 5 , Epoch:19, Support: 6
5 5 5 5 5 5 , Epoch:11, Support: 2088
5 5 5 5 5 5 3 3 3 3 , Epoch:19, Support: 6
5 5 5 5 5 5 3 3 3 5 , Epoch:19, Support: 6
5 5 5 5 5 5 3 3 5 3 , Epoch:19, Support: 6
5 5 5 5 5 5 3 3 5 5 , Epoch:19, Support: 6
5 5 5 5 5 5 3 5 3 3 , Epoch:19, Support: 6
5 5 5 5 5 5 3 5 3 5 , Epoch:19, Support: 6
5 5 5 5 5 5 3 5 5 3 , Epoch:19, Support: 6
5 5 5 5 5 5 3 5 5 5 , Epoch:19, Support: 6
5 5 5 5 5 5 5 3 3 3 , Epoch:19, Support: 6
5 5 5 5 5 5 5 3 3 5 , Epoch:19, Support: 6
5 5 5 5 5 5 5 3 5 3 , Epoch:19, Support: 6
5 5 5 5 5 5 5 3 5 5 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 , Epoch:3, Support: 420
5 5 5 5 5 5 5 5 2 2 2 2 2 2 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 2 5 2 2 2 2 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 3 3 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 3 5 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 5 2 2 2 2 2 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 5 3 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 5 5 2 2 2 2 , Epoch:19, Support: 6
5 5 5 5 5 5 5 5 5 5 5 , Epoch:6, Support: 6
5 8 8 8 8 , Epoch:25, Support: 6
5 8 8 8 8 8 , Epoch:24, Support: 6
6 6 6 6 6 , Epoch:4, Support: 714
6 6 6 6 6 , Epoch:30, Support: 1457
6 6 6 6 6 6 , Epoch:17, Support: 121
7 7 7 7 7 , Epoch:1, Support: 296
7 7 7 7 7 7 7 7 7 7 , Epoch:8, Support: 1075
8 4 8 8 8 , Epoch:25, Support: 5
8 5 5 5 8 , Epoch:25, Support: 6
8 5 5 8 8 , Epoch:25, Support: 6
8 5 8 5 8 , Epoch:25, Support: 6
8 5 8 8 8 , Epoch:25, Support: 6
8 8 2 2 2 , Epoch:25, Support: 4
8 8 2 8 2 , Epoch:25, Support: 4
8 8 5 5 8 , Epoch:25, Support: 6
8 8 5 8 8 , Epoch:25, Support: 6
8 8 8 2 2 2 , Epoch:25, Support: 12
8 8 8 2 2 2 , Epoch:26, Support: 4
8 8 8 2 2 2 , Epoch:27, Support: 4
8 8 8 2 8 2 , Epoch:25, Support: 12
8 8 8 5 8 , Epoch:25, Support: 6
8 8 8 8 , Epoch:2, Support: 684
8 8 8 8 2 2 , Epoch:25, Support: 12
8 8 8 8 2 2 , Epoch:26, Support: 4
8 8 8 8 8 2 , Epoch:25, Support: 12
8 8 8 8 8 8 , Epoch:29, Support: 493
9 9 9 , Epoch:32, Support: 851
9 9 9 9 , Epoch:31, Support: 256
9 9 9 9 9 9 9 9 9 , Epoch:0, Support: 56
10 5 10 5 5 5 , Epoch:10, Support: 4
10 10 5 10 5 5 , Epoch:9, Support: 4
10 10 10 5 10 5 , Epoch:8, Support: 4
10 10 10 10 10 5 10 , Epoch:6, Support: 4
10 10 10 10 10 10 5 5 5 5 5 5 , Epoch:5, Support: 4
10 10 10 10 10 10 10 5 5 5 5 5 , Epoch:5, Support: 4
10 10 10 10 10 10 10 10 , Epoch:10, Support: 30
10 10 10 10 10 10 10 10 5 5 5 5 , Epoch:5, Support: 4
10 10 10 10 10 10 10 10 10 , Epoch:13, Support: 76
